Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 2)","('flink_taskmanager_job_task_numRecordsInPerSecond', 3)","('flink_taskmanager_job_task_numRecordsInPerSecond', 4)","('flink_taskmanager_job_task_numRecordsInPerSecond', 5)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 3)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 4)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 5)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 0)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
1215,20756.36666666,20755.03333333,20746.6,,,,1000.0,911.0,859.0,,,,812.0,1381.0,372.0,3
1220,20763.03333333,20768.36666666,20751.983333329998,,,,1000.0,913.0,859.0,,,,818.0,1381.0,377.0,3
1225,20769.9,20767.95,20766.5,,,,1000.0,911.0,859.0,,,,818.0,1381.0,365.0,3
1230,20776.68333333,20766.3,20815.96666666,,,,1000.0,910.0,859.0,,,,823.0,1381.0,372.0,3
1235,20814.2,20591.55,20767.36666666,,,,1000.0,912.0,855.0,,,,825.0,1381.0,331.0,3
1240,20788.91666666,20745.83333333,20809.816666659997,,,,999.0,920.0,858.0,,,,822.0,1381.0,472.0,3
1245,20857.766666659998,20851.13333333,20848.53333333,,,,999.0,924.0,861.0,,,,823.0,1381.0,341.0,3
1250,20898.266666659998,20893.1,20887.65,,,,999.0,927.0,862.0,,,,822.0,1381.0,408.0,3
1255,20823.61666666,20837.21666666,20815.9,,,,999.0,924.0,859.0,,,,818.0,1381.0,370.0,3
1260,20840.46666666,20831.566666659997,20831.8,,,,999.0,924.0,860.0,,,,810.0,1381.0,358.0,3
1265,20867.6,20861.066666659997,20850.4,,,,999.0,925.0,862.0,,,,811.0,1381.0,341.0,3
1270,20894.28333333,20889.68333333,20883.55,,,,999.0,926.0,864.0,,,,815.0,1381.0,396.0,3
1275,20887.46666666,20891.86666666,,,,,999.0,926.0,,,,,815.0,1381.0,424.0,2
1280,,,,,,,,,,,,,,,,0
