Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 2)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 3)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 3)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 1)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 2)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
905,29126.28333333,28711.85,29051.66666666,28806.25,933.0,902.0,929.0,881.0,863.0,860.0,18688163.0,702.0,4
910,29227.816666659997,28648.85,29105.95,28502.883333330003,936.0,912.0,934.0,889.0,865.0,861.0,39396642.0,816.0,4
915,29201.71666666,29240.383333330003,29246.96666666,29049.21666666,938.0,909.0,935.0,882.0,870.0,867.0,61622686.0,1764.0,4
920,29972.816666659997,29689.266666659998,28751.433333330002,29428.53333333,934.0,903.0,936.0,877.0,867.0,866.0,21057814.0,578.0,4
925,28685.28333333,28738.0,26879.0,28194.85,935.0,907.0,940.0,881.0,872.0,868.0,39630437.0,749.0,4
930,26812.4,27777.03333333,29460.516666659998,27666.1,939.0,912.0,935.0,886.0,918.0,913.0,70664992.0,1261.0,4
935,28952.433333330002,29345.4,29434.766666659998,29426.15,933.0,907.0,933.0,881.0,905.0,900.0,28278656.0,1108.0,4
940,29543.316666659997,29169.383333330003,29516.566666659997,28753.066666659997,933.0,907.0,932.0,886.0,909.0,901.0,40423274.0,2743.0,4
945,29613.4,29631.11666666,29462.41666666,29475.833333330003,934.0,902.0,935.0,882.0,906.0,897.0,50809863.0,2063.0,4
950,29565.53333333,29285.1,29750.766666659998,29445.183333330002,936.0,903.0,938.0,878.0,907.0,897.0,18108419.0,450.0,4
